event_id,source,event_time_raw,event_time_reconciled,user_id,user_name,ip_address,event_name,model_id,region,extra
b9782b7e-2a05-45e4-b7ed-d02f73fd02fb,model_access,2026-08-08T08:25:23.040841Z,2026-08-08T08:25:23.040841Z,AIDAC30E1DD5ED774161,shaneramirez,137.243.96.76,training_job,model-07fe161b,,"{""success"": true}"
0622543f-4d0f-42ce-8506-c9f0c7971a61,s3,2026-08-08T11:33:26.976647Z,2026-08-08T11:33:26.976647Z,AIDA672BC5F62602429A,shawn52,200.250.175.183,GetObject,model-fe533931,eu-west-1,"{""bytes"": 50918850}"
13763948-afe4-4be3-81ac-87098a343d1f,s3,2026-08-08T11:42:06.038836Z,2026-08-08T11:42:06.038836Z,AIDA720503BC41304CCE,susanrogers,177.99.242.44,GetObject,model-8f80af0f,us-west-2,"{""bytes"": 56465817}"
cb5a3629-66b4-4e95-8d7c-2226178c176c,model_access,2026-08-08T12:26:11.854870Z,2026-08-08T12:26:11.854870Z,AIDA29BADC5B380841A3,stevennelson,66.13.238.40,metadata_view,model-fe533931,,"{""success"": true}"
e59b2cda-3f19-4b56-a83d-6b00413de079,s3,2026-08-08T12:54:46.145654Z,2026-08-08T12:54:46.145654Z,AIDA24E6B74E51B74691,fjohnson,221.108.180.212,GetObject,model-4d39bb85,eu-west-1,"{""bytes"": 67939336}"
ff12747d-e1d7-4bf8-ba72-237e74c53ce9,s3,2026-08-08T14:20:10.103217Z,2026-08-08T14:20:10.103217Z,AIDA1E12E2D70A904F00,johnsonjoshua,196.89.6.126,GetObject,model-fb83f2bd,us-west-2,"{""bytes"": 70869057}"
b58337ba-0790-4799-81d1-9f62071ab020,s3,2026-08-08T14:34:59.040905Z,2026-08-08T14:34:59.040905Z,AIDA9C40BFB9E5844DB0,richard13,216.121.229.251,GetObject,model-4d39bb85,us-east-1,"{""bytes"": 67939336}"
68f2ce2b-fdba-4fea-b0d9-ae338ad375ef,model_access,2026-08-08T15:18:07.446508Z,2026-08-08T15:18:07.446508Z,AIDA9C40BFB9E5844DB0,richard13,216.121.229.251,metadata_view,model-0492cf38,,"{""success"": true}"
77b3413b-49e1-4919-8980-ff2b42ba3b88,s3,2026-08-09T08:11:50.708414Z,2026-08-09T08:11:50.708414Z,AIDAC30E1DD5ED774161,shaneramirez,137.243.96.76,GetObject,model-aa5e8838,us-west-2,"{""bytes"": 64718110}"
0fe12085-5dc3-487b-8ca9-aea4a8662108,s3,2026-08-09T08:15:33.468076Z,2026-08-09T08:15:33.468076Z,AIDAC30E1DD5ED774161,shaneramirez,137.243.96.76,GetObject,model-2d062f5e,eu-west-1,"{""bytes"": 62056824}"
8eae403b-7f75-40db-bfb2-596d72a6e69f,model_access,2026-08-09T08:27:14.791909Z,2026-08-09T08:27:14.791909Z,AIDA29BADC5B380841A3,stevennelson,66.13.238.40,training_job,model-00fe679f,,"{""success"": true}"
9ff3208e-4cc5-4718-b8fa-3dd406977e9e,model_access,2026-08-09T09:12:52.850231Z,2026-08-09T09:12:52.850231Z,AIDA1A8C72341B434D30,johnhoffman,136.218.109.97,training_job,model-fe533931,,"{""success"": true}"
5b57069e-afd8-4ed6-a7b0-12a22d5b997c,iam,2026-08-09T09:26:24.186841Z,2026-08-09T09:26:24.186841Z,AIDAAAB2352E2BC74502,ddavis,210.8.107.66,ConsoleLogin,,eu-west-1,{}
a26c1234-6844-4ad9-a83e-92fd8daa0278,s3,2026-08-09T10:40:15.724196Z,2026-08-09T10:40:15.724196Z,AIDAD7E3B94030FD436D,janetwilliams,28.41.254.122,GetObject,model-92159fc8,us-east-1,"{""bytes"": 38210109}"
c311894d-7e25-4c1d-a6b2-1e3093998516,s3,2026-08-09T11:17:07.436882Z,2026-08-09T11:17:07.436882Z,AIDAAAB2352E2BC74502,ddavis,210.8.107.66,GetObject,model-1f604561,eu-west-1,"{""bytes"": 61442359}"
b8959209-5227-4789-812b-42fcc172e05f,s3,2026-08-09T12:14:07.278458Z,2026-08-09T12:14:07.278458Z,AIDAD119EB86BAC24FA8,yherrera,197.114.80.115,GetObject,model-07fe161b,eu-west-1,"{""bytes"": 73645686}"
f94027bd-b75e-4b73-bc7d-b47f3397247a,model_access,2026-08-09T12:15:47.068494Z,2026-08-09T12:15:47.068494Z,AIDA24E6B74E51B74691,fjohnson,221.108.180.212,training_job,model-a6d96d3f,,"{""success"": true}"
0288d566-d88b-4a6e-a91f-a223fd9e7be6,s3,2026-08-09T12:25:37.483437Z,2026-08-09T12:25:37.483437Z,AIDA1A8C72341B434D30,johnhoffman,136.218.109.97,GetObject,model-691a355f,us-east-1,"{""bytes"": 63612911}"
d1ae7a0f-fb1b-4e56-a9da-0f0ea369223b,s3,2026-08-09T12:30:27.539640Z,2026-08-09T12:30:27.539640Z,AIDA1E12E2D70A904F00,johnsonjoshua,196.89.6.126,GetObject,model-691a355f,us-west-2,"{""bytes"": 63612911}"
a06cc3be-a829-4a98-9e68-1633a349e859,iam,2026-08-09T12:36:17.844563Z,2026-08-09T12:36:17.844563Z,AIDA24E6B74E51B74691,fjohnson,221.108.180.212,ConsoleLogin,,us-west-2,{}
d1595392-7ea6-49a0-8d7c-0126631ed98f,s3,2026-08-09T12:44:56.514705Z,2026-08-09T12:44:56.514705Z,AIDAD119EB86BAC24FA8,yherrera,197.114.80.115,GetObject,model-4d39bb85,us-west-2,"{""bytes"": 67939336}"
46308bf4-c56f-4868-90fb-be41b320155a,iam,2026-08-09T12:46:52.607281Z,2026-08-09T12:46:52.607281Z,AIDAD119EB86BAC24FA8,yherrera,197.114.80.115,ConsoleLogin,,eu-west-1,{}
c891a7c4-a8d0-4976-b641-6080ab6d9793,s3,2026-08-09T12:50:53.127287Z,2026-08-09T12:50:53.127287Z,AIDAAAB2352E2BC74502,ddavis,210.8.107.66,GetObject,model-45e162fc,eu-west-1,"{""bytes"": 15225323}"
75ac9417-526a-43d6-b517-5cb2544af969,ec2,2026-08-09T13:25:10.113405Z,2026-08-09T13:25:10.113405Z,AIDA269B30AF5AF843E1,djames,197.17.58.159,StopInstances,,eu-west-1,{}
